TIME_INTERVAL,RESOURCE_NAME,AP_FLAG,SEC_FLAG,PSM_FLAG,DIPC_PRICE,RTD_PRICE,ADMIN_PRICE,SEC_PRICE,PSM_PRICE
08/01/2024,01LBR_DECORP,N,N,N,4114.4037,4114.4037,5177.4591,4114.4037,4114.4037
08/01/2024,01LBR_PNELC1,N,N,N,4115.2513,4115.2513,5177.4591,4115.2513,4115.2513
08/01/2024,01LIMAY_BAT,N,N,N,4022.869,4022.869,5080.7058,4022.869,4022.869
08/01/2024,01LIMAY_SS,N,N,N,4021.1739,4021.1739,5177.4591,4021.1739,4021.1739
08/01/2024,01LIMAY_U01,N,N,N,4021.1739,4021.1739,5076.438,4021.1739,4021.1739
08/01/2024,01LIMAY_U02,N,N,N,4021.1739,4021.1739,5076.438,4021.1739,4021.1739
08/01/2024,01LIMAY_U03,N,N,N,4021.1739,4021.1739,5076.438,4021.1739,4021.1739
08/01/2024,01LIMAY_U04,N,N,N,4021.1739,4021.1739,5076.438,4021.1739,4021.1739
08/01/2024,01LIMAY_U05,N,N,N,4021.1739,4021.1739,5076.438,4021.1739,4021.1739
08/01/2024,01LIMAY_U06,N,N,N,4021.1739,4021.1739,5076.438,4021.1739,4021.1739
08/01/2024,01LIMAY_U07,N,N,N,4021.1739,4021.1739,5076.438,4021.1739,4021.1739
08/01/2024,01LIMAY_U08,N,N,N,4021.1739,4021.1739,5076.438,4021.1739,4021.1739
08/01/2024,01MAEC_G01,N,N,N,4315.2717,4315.2717,5493.6975,4315.2717,4315.2717
08/01/2024,01MAEC_S01,N,N,N,4315.2717,4315.2717,5177.4591,4315.2717,4315.2717
08/01/2024,01MAGAPIT_BAT,N,N,N,4413.5869,4413.5869,6012.1544,4413.5869,4413.5869
08/01/2024,01MAGAT_BAT,N,N,N,4282.6413,4282.6413,5707.6743,4282.6413,4282.6413
08/01/2024,01MAGAT_SS,N,N,N,4282.6413,4282.6413,5177.4591,4282.6413,4282.6413
08/01/2024,01MAGAT_U01,N,N,N,4282.6413,4282.6413,5745.1874,4282.6413,4282.6413
08/01/2024,01MAGAT_U02,N,N,N,4282.6413,4282.6413,7392.1933,4282.6413,4282.6413
08/01/2024,01MAGAT_U03,N,N,N,4282.2175,4282.2175,7145.8557,4282.2175,4282.2175
08/01/2024,01MAGAT_U04,N,N,N,4282.6413,4282.6413,5242.9403,4282.6413,4282.6413
08/01/2024,01MALOL_SS,N,N,N,4221.6181,4221.6181,5177.4591,4221.6181,4221.6181
08/01/2024,01MALOL_T1L1,N,N,N,4235.6026,4235.6026,5177.4591,4235.6026,4235.6026
08/01/2024,01MARIS_U01,N,N,N,4292.388,4292.388,6107.7226,4292.388,4292.388
08/01/2024,01MARIS_U02,N,N,N,4292.388,4292.388,6071.0027,4292.388,4292.388
08/01/2024,01MARSOL_G01,N,N,N,3999.9853,3999.9853,5056.0713,3999.9853,3999.9853
08/01/2024,01MARVEL_AUX,N,N,N,3997.0189,3997.0189,5177.4591,3997.0189,3997.0189
08/01/2024,01MARVEL_G01,N,N,N,3995.3238,3995.3238,5191.5881,3995.3238,3995.3238
08/01/2024,01MARVEL_G02,N,N,N,3995.3238,3995.3238,4685.5996,3995.3238,3995.3238
08/01/2024,01MARVEL_SS,N,N,N,3997.0189,3997.0189,5177.4591,3997.0189,3997.0189
08/01/2024,01MASIWA_G01,N,N,N,4307.2201,4307.2201,5458.9881,4307.2201,4307.2201
08/01/2024,01MASIWA_SS,N,N,N,4307.2201,4307.2201,5177.4591,4307.2201,4307.2201
08/01/2024,01MATUNO_G01,N,N,N,4245.3493,4245.3493,5587.7093,4245.3493,4245.3493
08/01/2024,01MEXICO_SS,N,N,N,4247.0444,4247.0444,5177.4591,4247.0444,4247.0444
08/01/2024,01MEX_AEC,N,N,N,4250.0108,4250.0108,5177.4591,4250.0108,4250.0108
08/01/2024,01MEX_CISP,N,N,N,4250.8584,4250.8584,5177.4591,4250.8584,4250.8584
08/01/2024,01MEX_CLARK1,N,N,N,4250.8584,4250.8584,5177.4591,4250.8584,4250.8584
08/01/2024,01MEX_CLARK2,N,N,N,4250.8584,4250.8584,5177.4591,4250.8584,4250.8584
08/01/2024,01MEX_CND,N,N,N,4250.8584,4250.8584,5177.4591,4250.8584,4250.8584
08/01/2024,01MEX_L01,N,N,N,4250.8584,4250.8584,5177.4591,4250.8584,4250.8584
08/01/2024,01MEX_MIC,N,N,N,4250.0108,4250.0108,5177.4591,4250.0108,4250.0108
08/01/2024,01MEX_PELCO1,N,N,N,4250.8584,4250.8584,5177.4591,4250.8584,4250.8584
08/01/2024,01MEX_PIMP,N,N,N,4250.8584,4250.8584,5177.4591,4250.8584,4250.8584
08/01/2024,01MEX_SFLAPC,N,N,N,4247.892,4247.892,5177.4591,4247.892,4247.892
08/01/2024,01MEX_SKK,N,N,N,4250.0108,4250.0108,5177.4591,4250.0108,4250.0108
08/01/2024,01MPGC_SS,N,N,N,4100.843,4100.843,5177.4591,4100.843,4100.843
08/01/2024,01MPGC_U01,N,N,N,4080.502,4080.502,2739.2553,4080.502,4080.502
08/01/2024,01MPGC_U02,N,N,N,4080.502,4080.502,5111.1957,4080.502,4080.502
08/01/2024,01MPGC_U03,N,N,N,4088.1299,4088.1299,5195.3431,4088.1299,4088.1299
08/01/2024,01MPGC_U04,N,N,N,4080.0782,4080.0782,4907.4949,4080.0782,4080.0782
08/01/2024,01MRVEL_T1L1,N,N,N,3999.9853,3999.9853,5177.4591,3999.9853,3999.9853
08/01/2024,01MSINLO_BAT,N,N,N,4005.0705,4005.0705,5064.903,4005.0705,4005.0705
